sub_idx,resp_idx,sensor_idx,cf_alpha,cf_beta,pw_alpha,pw_beta,bw_alpha,bw_beta,off,exp
1,1,Frontal,8.343059273,25.3709255,0.635591962,0.279323901,7.506166478,12,0.182215394,1.18379419
1,1,Frontal,8.415013331,29.94021295,0.400053758,0.349103188,1.238909672,6.025361937,1.505673845,2.012922785
1,1,Frontal,10.04413913,20.51360511,1.196530369,0.478025593,4.217779679,6.430219385,1.097618434,1.701300908
1,1,Frontal,9.035773538,22.86206101,0.677420497,0.381449063,5.13368099,0.51149804,1.088760876,1.828506343
1,1,Frontal,9.924800281,27.09233846,0.31477851,0.262164507,2.161510512,1.312626979,1.396625665,1.99284605
1,1,Frontal,11.22308803,25.53541249,0.678928519,0.380656036,3.749483531,4.569426139,1.365347426,2.002226149
1,1,Frontal,8.570594591,28.10680702,0.370249847,0.576682733,3.589468104,5.506982014,1.281558225,1.97490123
1,1,Frontal,8.575909483,20.32006411,0.365248532,0.592439808,3.858577865,2.803257433,1.925414122,2.419384039
1,1,Frontal,8.055865581,21.01441656,0.49348722,0.435017688,1.999769554,5.054207453,1.43311521,1.974154786
1,1,Frontal,11.31146497,23.71550831,0.797486226,0.308551823,4.366011074,0.838406431,1.212941033,1.753789311
1,1,Frontal,8.073676892,29.0669946,0.590538262,0.234528501,1.916546057,7.330450218,1.206650768,1.698960071
1,1,Frontal,9.60085855,28.50468732,0.483911047,0.460144871,6.040400196,5.623142068,0.655442179,1.488259079
1,1,Frontal,11.62506758,19.44274921,0.253156829,0.334495742,3.668189614,7.429523616,1.296598478,1.866725053
1,1,Frontal,8.894404093,27.30534757,0.554255461,0.399925013,3.863508726,5.28536623,0.388856751,1.340712517
1,1,Frontal,9.598913008,16.55590844,0.237755077,0.298110376,3.18068496,1.313003099,1.837268297,2.174463145
1,1,Frontal,8.029925186,26.36574294,0.265382553,0.384438622,1.468123347,4.647714228,0.792236343,1.494083615
1,1,Frontal,8.591777825,22.82492389,0.477486788,0.324495324,5.785134619,1.568191846,0.694010294,1.481725739
1,1,Frontal,9.145626166,24.4658515,0.321472222,0.470471356,5.734903829,3.875818502,0.996462144,1.65124066
1,1,Frontal,9.073829951,22.07830698,0.770656824,0.522768065,3.115869307,6.087277183,0.682101303,1.537068902
1,1,Frontal,8.731708446,18.28373035,1.057447128,0.47420939,5.781987018,1.794816519,-0.06269799,0.909738092
1,1,Frontal,9.122849458,18.59069463,0.587289197,0.434405997,2.758068846,5.275564702,0.365466789,1.111797404
1,1,Frontal,8.670711504,19.08119643,0.490165511,0.403573935,1.565694972,0.573059024,1.320317497,1.774922685
1,1,Frontal,11.88141508,20.19520938,0.341738103,0.227595957,1.399049316,1.878484144,1.762031911,2.240734244
1,1,Frontal,9.511795323,20.68565392,0.523278525,0.356149331,3.411838281,3.490576372,1.138285175,1.702108022
